problem_set,puzzle_id,solvable,solution,num_nodes_expanded,solution_time
../prog2/test/test.csv,0,True,drluurlld,515,0.025016
../prog2/test/test.csv,2,True,drululdur,607,0.030020
../prog2/test/test.csv,4,True,drlluurdru,638,0.031021
../prog2/test/test.csv,6,True,urdduullddr,365,0.018012
../prog2/test/test.csv,8,True,lrurrdl,255,0.013009
../prog2/test/test.csv,10,True,llurrrdrdl,298,0.015010
../prog2/test/test.csv,12,True,ulddluudrur,371,0.017011
../prog2/test/test.csv,14,True,urrllddl,277,0.013010
../prog2/test/test.csv,16,True,ludrruddlllu,2106,0.113075
../prog2/test/test.csv,18,True,urddulldrlluudr,2143,0.117077
../prog2/test/test.csv,20,True,uddllururrldrd,2330,0.122081
../prog2/test/test.csv,22,True,udldlrrrudluur,1741,0.094063
../prog2/test/test.csv,24,True,rllldlrrrurduurdd,2168,0.105070
../prog2/test/test.csv,26,True,lllurruddrrdlll,2460,0.149097
../prog2/test/test.csv,28,True,luulddrdrrrluluru,2629,0.133088
../prog2/test/test.csv,30,True,ldllurudrrruu,1775,0.091060
../prog2/test/test.csv,32,True,urrdldllluurldrrurddr,24907,1.848226
../prog2/test/test.csv,34,True,drurduullllddrudrrur,21487,1.663104
../prog2/test/test.csv,36,True,dluuldurrrrdduldlllru,34927,2.789851
../prog2/test/test.csv,38,True,rurddlllluurdrrlu,10303,0.778516
../prog2/test/test.csv,40,True,drullldluudruulrdrrudrr,48952,4.650083
../prog2/test/test.csv,42,True,rdullldluuurddrurrrddullluu,52895,4.753152
../prog2/test/test.csv,44,True,luulduldurrdrrddllluruul,34593,2.589718
../prog2/test/test.csv,46,True,durdruuudllurlldddlluruu,44248,4.194782
../prog2/test/test.csv,48,True,urrlllllddrrlururddrrul,59393,6.076030
../prog2/test/test.csv,50,True,ludldlrurrdrruuldllllurrr,105127,13.391954
../prog2/test/test.csv,52,True,urrddlullllurrddlrr,46905,5.400580
../prog2/test/test.csv,54,True,llrrurrddludlullldrrluur,87474,10.308681
../prog2/test/test.csv,56,True,ldlluuudrrrulrdldrrrdllllu,196189,52.878986
../prog2/test/test.csv,58,True,lulurrrrdllddrrlllllurlurru,270466,60.958423
../prog2/test/test.csv,60,True,dlullduruurdrrrullrrdddlllul,201777,40.537880
../prog2/test/test.csv,62,True,rdrluuulldludldurddlrurdruurrud,318394,83.893631
../prog2/test/test.csv,64,True,lurlllrurrrrldddllllrrrrru,260174,63.992434
../prog2/test/test.csv,66,True,lullrulrrddlldrrruuurlrrd,172220,30.286082
../prog2/test/test.csv,68,True,rdlrrluulullldddruudrd,78300,11.456597
../prog2/test/test.csv,70,True,drrluuullrdlddulduulurddrrrru,429442,156.658892
../prog2/test/test.csv,72,True,urrlullldrddrrrudlllllurluurrrrr,1906167,3010.005382
../prog2/test/test.csv,74,True,rdruulurldlddlulduulrrrlullrddld,2377671,5328.969264
../prog2/test/test.csv,76,True,llldurulrurddrrrdllllrrruurulldlllu,1499824,1392.282336
../prog2/test/test.csv,78,True,ururddldulllrulurlldddrrruuu,1535392,1977.035005
../prog2/test/test.csv,80,True,rdruuudllllurlldddrurdrluurudru,3234552,11002.306556
