problem_set,puzzle_id,solvable,solution,num_nodes_expanded,solution_time
../prog2/test/test.csv,0,True,drluurlld,495,0.084057
../prog2/test/test.csv,2,True,dluurddru,602,0.084057
../prog2/test/test.csv,4,True,dluuddrruu,652,0.092060
../prog2/test/test.csv,6,True,urdduullddr,373,0.058039
../prog2/test/test.csv,8,True,lrurrdl,260,0.042027
../prog2/test/test.csv,10,True,llurrrdrdl,301,0.047031
../prog2/test/test.csv,12,True,ulddluudrur,363,0.052035
../prog2/test/test.csv,14,True,urrllddl,280,0.043028
../prog2/test/test.csv,16,True,luddludrrruu,2234,0.304203
../prog2/test/test.csv,18,True,urddulldrlluudr,2179,0.308204
../prog2/test/test.csv,20,True,dllururrlddurd,2559,0.347229
../prog2/test/test.csv,22,True,udldlrrrudluur,1861,0.257171
../prog2/test/test.csv,24,True,rldlllrurrrduurdd,2125,0.264175
../prog2/test/test.csv,26,True,lllurruddrrdlll,2389,0.329219
../prog2/test/test.csv,28,True,lluurdddrrrluluru,2689,0.345229
../prog2/test/test.csv,30,True,dlllurudrrruu,1874,0.250167
../prog2/test/test.csv,32,True,urrddlllluurldrrurddr,37222,2.003328
../prog2/test/test.csv,34,True,drurduullldluddrrrur,32375,1.741154
../prog2/test/test.csv,36,True,dluuldurrrrdduldlllru,39599,2.085383
../prog2/test/test.csv,38,True,rurddlllluurdrrlu,27745,1.614072
../prog2/test/test.csv,40,True,drullldluudrrululrrrdrr,60524,3.217133
../prog2/test/test.csv,42,True,rdullldluuurddrrrrduulldluu,56473,2.960962
../prog2/test/test.csv,44,True,druullulduldurrdddlurrur,38492,1.952295
../prog2/test/test.csv,46,True,durdruuudllurlldddlluruu,60974,3.318201
../prog2/test/test.csv,48,True,urrlllllddrrlururddrrul,96073,5.382570
../prog2/test/test.csv,50,True,lldlrurudrdrruuldllllurrr,151377,8.355541
../prog2/test/test.csv,52,True,urrddlulldlulurrddr,119529,7.170755
../prog2/test/test.csv,54,True,llrrurdurddllulldrllurur,129339,7.284831
../prog2/test/test.csv,56,True,ldlluuudrrrulrdldrrrdllllu,300714,18.214077
../prog2/test/test.csv,58,True,lulurrrrdllddrrlllllurlurru,325558,18.696399
../prog2/test/test.csv,60,True,dlullduruurdrrrullrrdddlllul,306830,17.975921
../prog2/test/test.csv,62,True,rdrlululudlldurudddlrurdruururd,400496,23.381505
../prog2/test/test.csv,64,True,lullrurrrrlddludldllrrrrru,367903,21.032948
../prog2/test/test.csv,66,True,lllurulrrddlldrrruuurlrrd,223665,12.988614
../prog2/test/test.csv,68,True,rdlrrluulullldddruudrd,119649,6.362220
../prog2/test/test.csv,70,True,drrluuullrdlddulduluurddrrrru,595959,35.769720
../prog2/test/test.csv,72,True,ludluurrdrrllddrrudllllluuurrrrr,3006268,213.779762
../prog2/test/test.csv,74,True,rdruulurldlddlulduulrrrlullrddld,3078270,217.889487
../prog2/test/test.csv,76,True,llldurulrurddrrrdllllrrruurulldlllu,1826647,120.899171
../prog2/test/test.csv,78,True,duluurdrurdddlulllrululdddrr,2412630,168.620799
../prog2/test/test.csv,80,True,rdruuudllllrulldddrrrllururudru,5474601,457.772702
../prog2/test/test.csv,82,True,lluulrrrddrdrluruuldllllddrurd,5371739,445.312939
../prog2/test/test.csv,84,True,llrururrlddruddllllruuudluldurddld,4258566,309.767489
../prog2/test/test.csv,86,True,ulrullldddrluurdrdrrruulduurlll,3936991,298.940193
../prog2/test/test.csv,88,True,lluudrrrurldrddluldluldluuurrrdr,9886447,925.909873
../prog2/test/test.csv,90,True,llrrururlllllrrdllddrrrrllurrrd,4120741,316.084601
../prog2/test/test.csv,92,True,dlrrluulrrruddluulllldddrurluur,5608084,466.429296
../prog2/test/test.csv,94,True,rrduluddlluurllddluuurrrrrd,3649256,305.993910
../prog2/test/test.csv,96,True,drrluuruldlullldrdldurdruurddrur,7676989,697.083249
../prog2/test/test.csv,98,True,rrudllluullrddluddrrruururllddrdr,5786834,465.664185
../prog2/test/test.csv,100,True,ldluurrurdddllllruluurrrrrddldr,7225829,618.900403
../prog2/test/test.csv,102,True,rrduulurlllllrddrullddrrrrluu,7297086,669.214767
